workload,run_num,cores_per_run,core_offset,warmup_instrs,roi_instrs,simtime
tango,31,1,31,50000000,500000000,12092
tango,32,1,32,50000000,500000000,12339
tango,33,1,33,50000000,500000000,11128
tango,34,1,34,50000000,500000000,12778
tango,35,1,35,50000000,500000000,12604
tango,36,1,36,50000000,500000000,12942
tango,37,1,37,50000000,500000000,12179
tango,38,1,38,50000000,500000000,12062
tango,39,1,39,50000000,500000000,11645
tango,40,1,40,50000000,500000000,12766
tango,41,1,41,50000000,500000000,13164
tango,42,1,42,50000000,500000000,12106
tango,43,1,43,50000000,500000000,12411
tango,44,1,44,50000000,500000000,11917
tango,45,1,45,50000000,500000000,11364
tango,46,1,46,50000000,500000000,10818
tango,47,1,47,50000000,500000000,12178
tango,48,1,48,50000000,500000000,11401
tango,49,1,49,50000000,500000000,13194
tango,50,1,50,50000000,500000000,12241
whiskey,0,1,0,50000000,500000000,11818
whiskey,1,1,1,50000000,500000000,15032
yankee,0,1,0,50000000,500000000,12302
yankee,1,1,1,50000000,500000000,12452
yankee,2,1,2,50000000,500000000,11403
yankee,3,1,3,50000000,500000000,11421
yankee,4,1,4,50000000,500000000,11568
yankee,5,1,5,50000000,500000000,12190
yankee,6,1,6,50000000,500000000,12210
yankee,7,1,7,50000000,500000000,12641
yankee,8,1,8,50000000,500000000,12101
yankee,9,1,9,50000000,500000000,10788
yankee,10,1,10,50000000,500000000,11339
yankee,11,1,11,50000000,500000000,11844
yankee,12,1,12,50000000,500000000,12422
yankee,13,1,13,50000000,500000000,12026
yankee,14,1,14,50000000,500000000,12177
yankee,15,1,15,50000000,500000000,12198
yankee,16,1,16,50000000,500000000,12066
yankee,17,1,17,50000000,500000000,11527
yankee,18,1,18,50000000,500000000,12198
yankee,19,1,19,50000000,500000000,11218
yankee,20,1,20,50000000,500000000,12249
yankee,21,1,21,50000000,500000000,10890
yankee,22,1,22,50000000,500000000,12236
yankee,23,1,23,50000000,500000000,12261
yankee,24,1,24,50000000,500000000,12365
yankee,25,1,25,50000000,500000000,11983
yankee,26,1,26,50000000,500000000,12330
yankee,27,1,27,50000000,500000000,12100
yankee,28,1,28,50000000,500000000,12242
yankee,29,1,29,50000000,500000000,12053
yankee,30,1,30,50000000,500000000,12169
yankee,31,1,31,50000000,500000000,12505
yankee,32,1,32,50000000,500000000,11251
yankee,33,1,33,50000000,500000000,10612
yankee,34,1,34,50000000,500000000,11461
yankee,35,1,35,50000000,500000000,8011
yankee,36,1,36,50000000,500000000,10858
yankee,37,1,37,50000000,500000000,11318
yankee,38,1,38,50000000,500000000,11246
yankee,39,1,39,50000000,500000000,11106
yankee,40,1,40,50000000,500000000,10070
yankee,41,1,41,50000000,500000000,11318
yankee,42,1,42,50000000,500000000,12012
yankee,43,1,43,50000000,500000000,12436
yankee,44,1,44,50000000,500000000,12593
yankee,45,1,45,50000000,500000000,12668
